OBJECTID,musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
1,10B,"Chitwood silt loam, 0 to 7 percent slopes",Consociation,,502,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60843
2,10C,"Chitwood silt loam, 7 to 15 percent slopes",Consociation,,434,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60844
3,11A,"Coquille-Clatsop complex, 0 to 1 percent slopes",Complex,,8288,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60845
4,12A,"Coquille-Clatsop complex, protected, 0 to 1 percent slopes",Complex,,9885,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60846
5,13A,"Coquille variant silt loam, 0 to 1 percent slopes",Consociation,,891,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60847
6,14A,"Croquib medial silt loam, 0 to 3 percent slopes",Consociation,,856,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60848
7,15,Dune land,Consociation,,1212,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60849
8,16D,"Ecola silt loam, 3 to 30 percent slopes",Consociation,,1328,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60850
9,16F,"Ecola-Templeton silt loams, 60 to 90 percent slopes",Complex,,2359,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60851
10,17A,"Eilertsen silt loam, 0 to 3 percent slopes",Consociation,,1801,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60852
11,18B,"Elsie silt loam, 0 to 7 percent slope",Consociation,,635,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60853
12,18C,"Elsie silt loam, 7 to 15 percent slopes",Consociation,,257,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60854
13,19C,"Gearhart fine sandy loam, 3 to 15 percent slopes",Consociation,,2986,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60855
14,19D,"Gearhart fine sandy loam, 15 to 30 percent slopes",Consociation,,1077,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60856
15,1D,"Alstony gravelly loam, 3 to 30 percent slopes",Consociation,,2005,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60857
16,1E,"Alstony gravelly loam, 30 to 60 percent slopes",Consociation,,4745,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60858
17,1F,"Alstony gravelly loam, 60 to 90 percent slopes",Consociation,,1103,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60859
18,20B,"Grindbrook silt loam, 0 to 7 percent slopes",Consociation,,2395,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60860
19,20C,"Grindbrook silt loam, 7 to 20 percent slopes",Consociation,,2156,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60861
20,21D,"Grindbrook silt loam, bedrock substratum, 3 to 30 percent slopes",Consociation,,5095,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60862
21,22F,"Harslow-Kilchis very gravelly loams, 60 to 90 percent slopes",Complex,,5211,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60863
22,23A,"Hebo silty clay loam, 0 to 3 percent slopes",Consociation,,2448,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60864
23,24C,"Heceta-Waldport fine sands, 0 to 15 percent slopes",Complex,,2326,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60865
24,25D,"Hemcross silt loam, 3 to 30 percent slopes",Consociation,,6187,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60866
25,26E,"Hemcross-Klistan complex, 30 to 60 percent slopes",Complex,,11293,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60867
26,27,"Humitropepts, 25 to 60 percent slopes",Consociation,,3163,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60868
27,28,"Humitropepts-Tropaquepts complex, 0 to 20 percent slopes",Complex,,4804,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60869
28,29F,"Kilchis-Rock outcrop complex, 60 to 90 percent slopes",Complex,,2671,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60870
29,2D,"Anunde silt loam, 3 to 30 percent slopes",Consociation,,4268,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60871
30,30A,"Kirkendall silt loam, 0 to 3 percent slopes",Consociation,,800,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60872
31,31E,"Klistan-Harslow complex, 30 to 60 percent slopes",Complex,,6107,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60873
32,31F,"Klistan-Harslow complex, 60 to 90 percent slopes",Complex,,701,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60874
33,32D,"Klootchie silt loam, 3 to 30 percent slopes",Consociation,,15230,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60875
34,33E,"Klootchie-Necanicum complex, 30 to 60 percent slopes",Complex,,36804,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60876
35,34D,"Klootchie-Necanicum complex, 3 to 30 percent slopes, bouldery",Complex,,1166,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60877
36,34E,"Klootchie-Necanicum complex, 30 to 60 percent slopes, bouldery",Complex,,4516,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60878
37,35B,"Knappa silt loam, 0 to 7 percent slopes",Consociation,,697,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60879
38,35C,"Knappa silt loam, 7 to 15 percent slopes",Consociation,,538,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60880
39,36C,"Knappa variant loam, 3 to 15 percent slopes",Consociation,,912,,,,,,,Farmland of statewide importance,,,,,Order 2,,,,,,10366,60881
40,37F,"Laderly-Caterl complex, 60 to 90 percent slopes",Complex,,935,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60882
41,38F,"Laderly-Rock outcrop complex, 60 to 90 percent slopes",Complex,,11424,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60883
42,39A,"Locoda silt loam, 0 to 3 percent slopes",Consociation,,2196,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60884
43,3F,"Ascar-Rock outcrop complex, 60 to 90 percent slopes",Complex,,5238,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60885
44,4,Beaches,Consociation,,1430,,,,,,,Not prime farmland,,,,,Order 2,,,,,,10366,60886
